Column1;Column2
Szczecin : Wydawnictwo Naukowe Uniwersytetu Szczeciñskiego, 2019;S. 579-588 - Bibliogr. 50 poz.
Szczecin : Wydawnictwo Naukowe Uniwersytetu Szczeciñskiego, 2019;2019, vol. 17, no. 1 (81) s. 212-238 - rys., tab. - Streszcz., summ. - Bibliogr. 129 poz.
Szczecin : Wydawnictwo Naukowe Uniwersytetu Szczeciñskiego, 2019;290 s.
Szczecin : Wydawnictwo Naukowe Uniwersytetu Szczeciñskiego, 2019;S. 119-136 - rys., tab. - Bibliogr. 50 poz.
Warszawa : CeDeWu, 2019;S. 100-118 - rys., tab. - Bibliogr. 15 poz.
Katowice : Wydawnictwo Uniwersytetu Ekonomicznego w Katowicach, 2019;S. 221-243 - tab., summ.
Sofia : UNWE Publishing Complex, 2019;S. 192-202 - Summ.
Warszawa : Komitet Przestrzennego Zagospodarowania Kraju PAN, 2019;286 s. : rys., tab., Bibliogr. 279 poz., s. 263-280
Katowice : Wydawnictwo Uniwersytetu Ekonomicznego w Katowicach, 2019;S. 203-220 - rys., summ.
Katowice : Wydawnictwo Uniwersytetu Ekonomicznego w Katowicach, 2019;348 s. : rys., tab., Bibliogr. po rozdz.
Warszawa : Wolters Kluwer, 2019;S. 83-98 - rys., tab., summ.
Katowice : Wydawnictwo Uniwersytetu Ekonomicznego w Katowicach, 2019;216 s. : rys., tab., Bibliogr. 133 poz., s. 205-211
Katowice : Wydawnictwo Uniwersytetu Ekonomicznego w Katowicach, 2019;S. 209-228 - tab., streszcz. - Bibliogr. 31 poz.
Warsaw : Dom Wydawniczy ELIPSA, 2019;S. 135-149 - rys., tab., summ.
Ceske Budejovice : University of South Bohemia in Ceske Budejovice, Faculty of Economics, 2019;"598 s. ; Bibliogr. przy rozdz."
Ostrava : VSB - Technical University of Ostrava, 2019;S. 133-141 - rys., tab., summ. - Bibliogr. 24 poz.
Katowice : Wydawnictwo Uniwersytetu Ekonomicznego w Katowicach, 2019;S. 29-44 - rys., tab., summ.
Warsaw : Dom Wydawniczy ELIPSA, 2019;S. 276-288 - rys., tab., summ.
Katowice : Wydawnictwo Uniwersytetu Ekonomicznego w Katowicach, 2019;181 s. : rys., tab., Bibliogr.
Katowice : Wydawnictwo Uniwersytetu Ekonomicznego w Katowicach, 2019;13 s. - rys., tab. - Bibliogr. 22 poz.
Siedlce : Wydawnictwo Naukowe Uniwersytetu Przyrodniczo-Humanistycznego w Siedlcach, 2019;S. 247-259 - rys., tab., summ.
Moskva : Ekonomiceskij fakultet MGU imieni M.V. Lomonosova, 2019;S. 260-275 - rys., tab., summ.
Katowice : Publishing House of the University of Economics in Katowice, 2019;168 s.
Katowice : Fundacja \;2019, vol. 55, iss. 4 s. 319-330 - rys., tab. - Summ. - Bibliogr. 66 poz.
Warszawa : Wydawnictwo Naukowe Scholar, 2019;S. 39-48 - tab., streszcz., summ. - Bibliogr. 11 poz.
Katowice : Publishing House of the University of Economics in Katowice, 2019;244 s.
Katowice : Publishing House of the University of Economics in Katowice, 2019;2019, vol. 19, iss. 4 s. 993-1032 - rys., tab. - Summ. - Bibliogr. 77 poz.
Katowice : Fundacja \;190 s., Bibliogr. s. 183-190
Katowice : Wydawnictwo Uniwersytetu Ekonomicznego w Katowicach, 2019;133 s.
Katowice : Wydawnictwo Uniwersytetu Ekonomicznego w Katowicach, 2019;108 s. : rys., tab., Bibliogr. 124 poz.
Katowice : Wydawnictwo Uniwersytetu Ekonomicznego w Katowicach, 2019;122 s.
Moskva : Ekonomiceskij fakultet MGU imieni M.V. Lomonosova, 2019;S. 236-252 - Bibliogr. 19 poz.
Katowice : Wydawnictwo Uniwersytetu Ekonomicznego w Katowicach, 2019;S. 95-108
Katowice : Wydawnictwo Uniwersytetu Ekonomicznego w Katowicach, 2019;S. 285-303 - Bibliogr. 65 poz.
Siedlce : Wydawnictwo Naukowe Uniwersytetu Przyrodniczo-Humanistycznego w Siedlcach, 2019;S. 66-74 - rys., tab.
Katowice : Wydawnictwo Uniwersytetu Ekonomicznego w Katowicach, 2019;S. 152-160 - rys., summ. - Bibliogr. 17 poz.
Cham : Springer, 2019;"298 s. ; Bibliogr. przy rozdz."
Katowice : Wydawnictwo Uniwersytetu Ekonomicznego w Katowicach, 2019;860 s.
Katowice : Wydawnictwo Uniwersytetu Ekonomicznego w Katowicach, 2019;S. 193-210 - rys. - Bibliogr. 19 poz.
Katowice : Wydawnictwo Uniwersytetu Ekonomicznego w Katowicach, 2019;S. 249-255 - summ., tab. - Bibliogr. 14 poz.
Cham : Springer, 2019;S. 155-164
Cham : Springer, 2019;S. 103-111 - rys., summ., tab. - Bibliogr. 26 poz.
Warszawa : Wolters Kluwer, 2019;S. 211-235 - Bibliogr. 51 poz.
Lviv : Lviv Polytechnic National University, 2019;S. 81-92 - streszcz.
Cham : Springer, 2019;S. 191-201 - rys., tab., summ. - Bibliogr. 19 poz.
Szczecin : Wydawnictwo Naukowe Uniwersytetu Szczeciñskiego, 2019;"319 s. ; Bibliogr. przy rozdz."
Warszawa : Wydawnictwo Naukowe PWN, 2019;S. 53-64 - streszcz., summ., tab. - Bibliogr. 28 poz.
Cham : Springer, 2019;S. 123-132 - rys., streszcz., summ., tab. - Bibliogr. 9 poz.
Napoli : Edizioni Scientifiche Italiane, 2019;2019, nr 1 (51) s. 44-54 - Streszcz., summ. - Bibliogr. 43 poz.
Napoli : Edizioni Scientifiche Italiane, 2019;S. 276-289 - streszcz., summ. - Bibliogr. 20 poz.
Cham : Springer, 2019;2019, nr 45 s. 23-40 - tab. - Streszcz., summ. - Bibliogr. 78 poz.
Cham : Springer, 2019;2019, vol. 17, no. 5 (85) s. 111-131 - rys., tab. - Streszcz., summ. - Bibliogr. 55 poz.
£ódŸ-Warszawa : Wydawnictwo Spo³ecznej Akademii Nauk, 2019;2019, nr 1 s. 155-177 - Summ. - Bibliogr. 50 poz.
Katowice : Wydawnictwo Uniwersytetu Ekonomicznego w Katowicach, 2019;2019, vol. 17, no. 5 (85) s. 24-39 - tab. - Summ. - Bibliogr. 40 poz.
Lublin : Wydawnictwo Naukowe Tygiel, 2019;2019, T. 19, z. 4 s. 69-79 - tab. - Streszcz., summ. - Bibliogr. 20 poz.
Katowice : Publishing House of the University of Economics in Katowice, 2019;S. 154-174 - tab.
Lublin : Wydawnictwo Naukowe Tygiel, 2019;S. 175-184
£ódŸ-Warszawa : Wydawnictwo Spo³ecznej Akademii Nauk, 2019;S. 140-153 - tab.
Warszawa : Wydawnictwo Naukowe Scholar, 2019;2019, nr 10 s. 22-30 - tab. - Streszcz., summ. - Bibliogr. 29 poz.
Katowice : Wydawnictwo Uniwersytetu Ekonomicznego w Katowicach, 2019;S. 62-83
£ódŸ-Warszawa : Wydawnictwo Spo³ecznej Akademii Nauk, 2019;2019, nr 14 (1) s. 47-62 - rys., tab. - Streszcz., summ. - Bibliogr. 33 poz.
Sanok : Pañstwowa Wy¿sza Szko³a Zawodowa im. Jana Grodka w Sanoku : Polskie Towarzystwo Historyczne, oddzia³ w Sanoku, 2019;"184 s. ; bibliogr. przy rozdz."
Vilnius : Diamond Scientific Publication, 2019;S. 415-420 - rys., summ., tab. - Bibliogr. 20 poz.
Sanok : Pañstwowa Wy¿sza Szko³a Zawodowa im. Jana Grodka w Sanoku : Polskie Towarzystwo Historyczne, oddzia³ w Sanoku, 2019;2019, nr 10 s. 31-33
"Hershey, Pennsylvania : IGI Global ; Business Science Reference, 2019";171 s.
Poznañ : Adam Mickiewicz University in Poznañ. Scientific Publisher of the Faculty of Political Science and Journalism, 2019;156 s. : rys., tab., za³., Bibliogr. 616 poz., s. 109-147
Poznañ : Adam Mickiewicz University in Poznañ. Scientific Publisher of the Faculty of Political Science and Journalism, 2019;S. 99-109
Katowice : Wydawnictwo Uniwersytetu Œl¹skiego, 2019;S. 31-39 - summ. - Bibliogr. 14 poz.
Warszawa : Difin, 2019;213 s. : rys., tab., Bibliogr. 391 poz., s. 187-210
"Hershey, Pennsylvania : IGI Global ; Business Science Reference, 2019";2019, Vol. 159 s. 2616-2628 - rys., tab. - Summ. - Bibliogr. 56 poz.
Warszawa : CeDeWu, 2019;S. 23-36 - tab.
Warszawa : Wydawnictwo C.H. Beck, 2019;177 s. : il.
Czêstochowa : Wydawnictwo Politechniki Czêstochowskiej, 2019;S. 11-22 - tab.
Rzeszów : Oficyna Wydawnicza Politechniki Rzeszowskiej, 2019;318 s.
Wroc³aw : Uniwersytet Ekonomiczny we Wroc³awiu, 2019;2019, nr 1(43) s. 15-29 - rys., tab. - Streszcz., summ. - Bibliogr. 21 poz.
S³upsk : Mateusz Weiland Network Solutions, 2019;2019, z. 137 s. 167-183 - summ. - Bibliogr. 107 poz.
Rzeszów : Oficyna Wydawnicza Politechniki Rzeszowskiej, 2019;2019, nr 1 s. 2-8 - rys. - Streszcz., summ. - Bibliogr. 21 poz.
S³upsk : Mateusz Weiland Network Solutions, 2019;2019, R. 23, nr 1 s. 209-221 - rys., tab. - Streszcz., summ. - Bibliogr. 25 poz.
Wroc³aw : Uniwersytet Ekonomiczny we Wroc³awiu, 2019;S. 11-21 - rys., tab.
Warszawa : Wydawnictwo Naukowe Wydzia³u Zarz¹dzania Uniwersytetu Warszawskiego, 2019;144 s.
Warszawa : Wydawnictwo Naukowe Wydzia³u Zarz¹dzania Uniwersytetu Warszawskiego, 2019;S. 73-86 - rys., tab.
Warszawa : Wydawnictwo Naukowe Wydzia³u Zarz¹dzania Uniwersytetu Warszawskiego, 2019;S. 41-53 - rys., tab.
Katowice : Wydawnictwo Uniwersytetu Ekonomicznego w Katowicach, 2019;436 s. : il., tab., fot., nuty
Libuse Macakova : MELANDRIUM, 2019;S. 76-86 - rys., tab.
Gdañsk : Wydawnictwo Uniwersytetu Ekonomicznego w Katowicach, 2019;165 s., Bibliogr. po art.
Katowice : Wydawnictwo Uniwersytetu Ekonomicznego w Katowicach, 2019;S. 55-75 - rys., tab.
Warszawa : CeDeWu, 2019;284 s.
Gdañsk : Wydawnictwo Uniwersytetu Gdañskiego, 2019;2019, nr 389 s. 101-117 - rys., tab. - Streszcz., summ. - Bibliogr. 14 poz.
Herson : Vidavnictvo \;S. 81-108 - Bibliogr.
Herson : Vidavnictvo \;S. 99-107 - tab.
Katowice : Wydawnictwo Uniwersytetu Ekonomicznego w Katowicach, 2019;S. 87-98 - tab.
Gdañsk : Wydawnictwo Uniwersytetu Gdañskiego, 2019;117 s. : rys., tab., Bibliogr. po art.
Libuse Macakova : MELANDRIUM, 2019;2019, nr 389 s. 20-37 - tab. - Streszcz., summ. - Bibliogr. 24 poz.
Katowice : Wydawnictwo Uniwersytetu Ekonomicznego w Katowicach, 2019;S. 37-44 - tab.
Gdañsk : Wydawnictwo Uniwersytetu Gdañskiego, 2019;2019, nr 12 s. 58-62 - Streszcz., summ. - Bibliogr. 27 poz.
Katowice : Wydawnictwo Uniwersytetu Ekonomicznego w Katowicach, 2019;S. 279-289 - rys. - Bibliogr. 13 poz.
Cham : Springer International Publishing, 2019;S. 68-80
Katowice : Wydawnictwo Uniwersytetu Ekonomicznego w Katowicach, 2019;2019, t. 117 s. 61-77 - tab. - Streszcz. - Bibliogr. 22 poz.
Katowice : Wydawnictwo Uniwersytetu Œl¹skiego, 2019;S. 13-39 - rys., tab.
Poznañ : M³odzi Naukowcy, 2019;S. 40-67 - tab.
Poznañ : M³odzi Naukowcy, 2019;S. 493-503
Poznañ : M³odzi Naukowcy, 2019;S. 145-168 - rys., tab. - Bibliogr. 85 poz.
Poznañ : M³odzi Naukowcy, 2019;S. 125-141 - rys., tab. - Bibliogr. 68 poz.
Katowice : Wydawnictwo Uniwersytetu Œl¹skiego, 2019;636 s.
Poznañ : M³odzi Naukowcy, 2019;2019, nr 1 (95) s. 19-31 - Streszcz. - Bibliogr. 17 poz.
Warszawa : CeDeWu, 2019;2019, vol. 63, nr 8 s. 143-153 - Streszcz., summ. - Bibliogr. 35 poz.
Katowice : Wydawnictwo Uniwersytetu Ekonomicznego w Katowicach, 2019;S. 124-130 - summ. - Bibliogr. 17 poz.
Poznañ : M³odzi Naukowcy, 2019;S. 261-278 - rys., tab. - Bibliogr. 48 poz.
Katowice : Wydawnictwo Uniwersytetu Ekonomicznego w Katowicach, 2019;2019, nr 4 s. 21-24 - Streszcz., summ. - Bibliogr. 25 poz.
Poznañ : M³odzi Naukowcy, 2019;229 s.
Rome : Diamond Scientific Publication, 2019;S. 243-260 - rys. - Bibliogr. 46 poz.
Rome : Diamond Scientific Publication, 2019;S. 133-152 - rys., streszcz., summ., tab. - Bibliogr. 14 poz.
Sofia : STEF92 Technology, 2019;173 s. : rys., tab., Bibliogr. 143 poz., s. 167-173
Rome : Diamond Scientific Publication, 2019;2019, nr 1(51) s. 35-43 - rys. - Streszcz., summ. - Bibliogr. 30 poz.
Sofia : STEF92 Technology, 2019;"313 s. : rys., tab. ; Bibliogr. przy rozdz."
Katowice : Wydawnictwo Uniwersytetu Ekonomicznego w Katowicach, 2019;2019, vol. 20, iss. 3 s. 424-445 - rys., tab. - Bibliogr. 72 poz.
Katowice : Wydawnictwo Uniwersytetu Ekonomicznego w Katowicach, 2019;S. 81-113 - tab., summ.
Reading : Academic Conferences and Publishing International Limited, 2019;2019, vol. 51, iss. 31 s. 3389-3400 - tab. - Summ. - Bibliogr. 45 poz.
Katowice : Wydawnictwo Uniwersytetu Ekonomicznego w Katowicach, 2019;2019, nr 4 (2) s. 5-12 - rys. - Streszcz., summ.
Reading : Academic Conferences and Publishing International Limited, 2019;VI, 410 s.
Katowice : Publishing House of the University of Economics in Katowice, 2019;S. 301-313 - Bibliogr 26 poz.
Czêstochowa : Wydawnictwo Politechniki Czêstochowskiej, 2019;S. 291-299 - tab. - Bibliogr. 33 poz.
Cham : Springer, 2019;S. 13473-13488 - rys., summ. - Bibliogr. 22 poz.
Cham : Springer, 2019;2019, Vol. 6, No. 2 s. 76-88 - Summ. - Bibliogr. 94 poz.
Cham : Springer, 2019;2019, Vol. 13, issue 2 s. 81-88 - rys. - Summ. - Bibliogr. 20 poz.
Cham : Springer, 2019;S. 37-50 - tab. - Bibliogr. 37 poz.
Cham : Springer, 2019;2019, vol. 1, no. 340 s. 73-89 - rys. tab. - Streszcz., summ. - Bibliogr. 65 poz.
Cham : Springer, 2019;2019, t. 20, z. 2/1 s. 197-208 - tab. - Summ. - Bibliogr. 21 poz.
Czêstochowa : Wydawnictwo Politechniki Czêstochowskiej, 2019;2019, Vol. 6, No. 2 s. 22-31 - tab. - Summ. - Bibliogr. 23 poz.
Cham : Springer, 2019;2019, vol. 35, iss. 2 s. 193-203 - Bibliogr. 70 poz.
Cham : Springer, 2019;S. 180002-1-180002-4 - rys., tab. - Bibliogr. 10 poz.
Cham : Springer, 2019;2019, t. 20, z. 4/1 s. 191-207 - tab. - Summ. - Bibliogr. 34 poz.
Cham : Springer, 2019;S. 200-223 - summ. - Bibliogr. 15 poz.
Katowice : Publishing House of the University of Economics in Katowice, 2019;2019, vol. 18, iss. 1 s. 61-72 - Summ. - Bibliogr. 36 poz.
Katowice : Publishing House of the University of Economics in Katowice, 2019;2019, t. 20, z. 6/2 s. 53-67 - rys., tab. - Summ. - Bibliogr. 21 poz.
Katowice : Publishing House of the University of Economics in Katowice, 2019;S. 10869-10879 - rys., summ., tab. - Bibliogr. 35 poz.
Katowice : Publishing House of the University of Economics in Katowice, 2019;S. 12816-12822 - summ. - Bibliogr. 34 poz.
Katowice : Publishing House of the University of Economics in Katowice, 2019;2019, vol. 122 s. 218-230 - rys. - Summ. - Bibliogr. 16 poz.
Katowice : Publishing House of the University of Economics in Katowice, 2019;2019, t. 20, z. 6/2 s. 155-169 - tab. - Summ. - Bibliogr. 50 poz.
Warszawa : Wydawnictwo Poltext, 2019;2019, t. 20, z. 6/2 s. 139-152 - tab. - Summ. - Bibliogr. 17 poz.
Manoa : University of Hawai'i at Manoa, 2019;2019, t. 55, z. 2 s. 411-428 - Summ. - Bibliogr. 50 poz.
Manoa : University of Hawai'i at Manoa, 2019;S. 117-124 - Bibliogr. 12 poz.
Warszawa : CeDeWu, 2019;171 s. : rys., tab., Bibliogr. po art.
Warszawa : Wydawnictwo SGGW, 2019;285 s.
Katowice : Wydawnictwo AMPoligrafia, 2019;2019, vol. 11, iss. 3 (894) 20 s. - rys., tab. - Bibliogr. 98 poz.
Warszawa : Wydawnictwo SGGW, 2019;"328 s. : rys., tab. ; Bibliogr. przy rozdz."
Warszawa : Wydawnictwo C.H. Beck, 2019;"13952 s. ; Bibliogr. przy rozdz."
Cham : Springer Nature Switzerland, 2019;2019, vol. 164 s. 11-18 - rys., tab. - Summ. - Bibliogr. 31 poz.
Warszawa : Difin, 2019;S. 9-25 - rys., tab. - Bibliogr. 37 poz.
Cham : Springer Nature Switzerland, 2019;2019, t. 101 (157) s. 133-148 - rys., tab. - Streszcz., summ. - Bibliogr. 27 poz.
Cham : Springer Nature Switzerland, 2019;S. 91-107
Budapest : Obuda University Keleti Faculty of Business and Management, 2019;2019, vol. 23, no. 4 s. 80-95 - rys. - Streszcz., summ. - Bibliogr. 38 poz.
Warszawa : Wydawnictwo C.H. Beck, 2019;2019, no. 140 s. 351-364 - Summ. - Bibliogr. 34 poz.
Budapest : Obuda University Keleti Faculty of Business and Management, 2019;2019, no. 139 s. 575-586 - rys., tab. - Summ. - Bibliogr. 8 poz.
Katowice : Wydawnictwo Uniwersytetu Ekonomicznego w Katowicach, 2019;"354 s. : rys., tab. ; Bibliogr. przy rozdz."
Cham : Springer Nature Switzerland, 2019;2019, vol. 59, iss. 2 s. 116-126 - Bibliogr. 89 poz.
Budapest : Obuda University Keleti Faculty of Business and Management, 2019;2019, vol. 10, iss. 4 s. 589-602 - summ. - Bibliogr. 29 poz.
Poznañ : SportWin, 2019;S. 57-68 - summ. - Bibliogr. 15 poz.
Brno : Masaryk University, 2019;16 s. - rys., tab. - Bibliogr. 43 poz.
Brno : Masaryk University, 2019;S. 21-43 - rys., tab. - Bibliogr. 75 poz.
Varazdin : Varazdin Development and Entrepreneurship Agency, 2019;2019, nr 386 s. 122-134 - tab. - Streszcz., summ. - Bibliogr. 11 poz.
Lisbon : Study Centre for European Policy Studies (CEPS), 2019;2019, nr 386 s. 135-144 - Streszcz., summ. - Bibliogr. 16 poz.
Lisbon : Centre for Research in Political Science, International Relations and Security (CICPRIS), 2019;2019, nr 386 s. 95-107 - tab. - Streszcz., summ. - Bibliogr. 21 poz.
Lisbon : Fundacao para a Ciencia e a Tecnologia (FCT), 2019;2019, nr 386 s. 108-121 - tab. - Streszcz., summ. - Bibliogr. 35 poz.
Aveiro : The Research Unit on Governance, Competitiveness and Public Policies (GOVCOPP), 2019;2019, vol. 63, nr 5 s. 19-28 - tab. - Streszcz., summ. - Bibliogr. 10 poz.
Koprivnica : University North, 2019;"210 s. ; Bibliogr. przy rozdz."
Warsaw : Faculty of Management University of Warsaw, 2019;2019, vol. 63, nr 5 s. 78-89 - tab. - Streszcz., summ. - Bibliogr. 24 poz.
Rabat : Faculty of Law, Economics and Social Sciences Sale - Mohammed V University in Rabat, 2019;S. 45-54 - rys., tab. - Bibliogr. 10 poz.
Brno : Masaryk University, 2019;2019, nr 23 (2) s. 9-22 - rys., tab. - Streszcz., summ. - Bibliogr. 15 poz.
Varazdin : Varazdin Development and Entrepreneurship Agency, 2019;224 s. : rys., tab., Bibliogr. 306 poz.
Lisbon : Study Centre for European Policy Studies (CEPS), 2019;338 s.
Lisbon : Centre for Research in Political Science, International Relations and Security (CICPRIS), 2019;2019, Nr 2 s. 49-59 - Streszcz., summ. - Bibliogr. 12 poz.
Lisbon : Fundacao para a Ciencia e a Tecnologia (FCT), 2019;2019, Vol. 20, No. 4 s. 153-166 - tab. - Summ. - Bibliogr. 40 poz.
Aveiro : The Research Unit on Governance, Competitiveness and Public Policies (GOVCOPP), 2019;182 s. : tab., Bibliogr. 279 spoz., s. 163-176
Koprivnica : University North, 2019;2019, vol. 7, no. 3 s. 120-125 - rys., tab. - Summ. - Bibliogr. 18 poz.
Warsaw : Faculty of Management University of Warsaw, 2019;2019, Vol. 20, iss. 3 s. 9-19 - tab. - Streszcz., summ. - Bibliogr. 16 poz.
Rabat : Faculty of Law, Economics and Social Sciences Sale - Mohammed V University in Rabat, 2019;298 s. : rys., tab., Bibliogr. 285 poz.
Kazan : Izdatel'stvo Kazanskogo Universiteta, 2019;S. 79-93
Katowice : Wydawnictwo Uniwersytetu Ekonomicznego w Katowicach, 2019;2019, Vol. 14, Issue 4 s. 742-749 - tab. - Summ. - Bibliogr. 31 poz.
Varazdin : Varazdin Development and Entrepreneurship Agency, 2019;2019, Vol. 38(4) s. 67-88 - tab. - Summ. - Bibliogr. 53 poz.
London : Pearson College London, 2019;269 s.
Koprivnica : University North, 2019;116 s.
Warsaw : Faculty of Management University of Warsaw, 2019;552 s. : rys., tab. + Streszcz., summ.
Rabat : Faculty of Law, Economics and Social Sciences Sale - Mohammed V University in Rabat, 2019;S. 20-32
Kazan : Izdatel'stvo Kazanskogo Universiteta, 2019;S. 104-114 - rys., streszcz., summ. - Bibliogr. 12 poz.
D¹browa Górnicza : Wydawnictwo Naukowe Akademii WSB, 2019;S. 36-43 - Bibliogr. 17 poz.
Katowice : Polskie Towarzystwo Ekonomiczne w Katowicach, 2019;2019, T. 66, nr 2 s. 157-164 - fot.
Poznañ : SportWin, 2019;17 s. - summ. - Bibliogr. 51 poz.
Bratislava : Vydavate'lstvo EKONÓM, University of Economics in Bratislava, 20119;2019, nr 385 s. 37-49 - tab. - Streszcz., summ. - Bibliogr. 22 poz.
D¹browa Górnicza : Wydawnictwo Naukowe Akademii WSB, 2019;2019, nr 386 s. 62-71 - rys., tab. - Streszcz., summ. - Bibliogr. 16 poz.
Katowice : Polskie Towarzystwo Ekonomiczne w Katowicach, 2019;2019, nr 386 s. 72-83 - tab. - Streszcz., summ. - Bibliogr. 30 poz.
Cham : Springer, 2019;2019, nr 386 s. 40-51 - rys. - Streszcz., summ. - Bibliogr. 22 poz.
Bratislava : Vydavate'lstvo EKONÓM, University of Economics in Bratislava, 2019;2019, nr 386 s. 52-61 - tab. - Streszcz., summ. - Bibliogr. 18 poz.
Cham : Springer, 2019;2019, nr 386 s. 20-29 - tab. - Streszcz., summ. - Bibliogr. 8 poz.
D¹browa Górnicza : Wydawnictwo Naukowe Akademii WSB, 2019;2019, nr 386 s. 30-39 - tab. - Streszcz., summ. - Bibliogr. 10 poz.
Katowice : Polskie Towarzystwo Ekonomiczne w Katowicach, 2019;S. 313-333 - rys., tab., streszcz., summ. - Bibliogr. 35 poz.
Cham : Springer, 2019;2019, nr 385 s. 129-139 - tab. - Streszcz., summ. - Bibliogr. 40 poz.
Sofia : Monetary Research Center, 2019;"478 s. : rys., tab. ; bibliogr. przy rozdz."
Sofia : Monetary Research Center, 2019;2019, nr 386 s. 7-19 - tab. - Streszcz., summ. - Bibliogr. 11 poz.
D¹browa Górnicza : Wydawnictwo Naukowe Akademii WSB, 2019;2019, nr 385 s. 50-60 - Streszcz., summ. - Bibliogr. 19 poz.
Katowice : Polskie Towarzystwo Ekonomiczne w Katowicach, 2019;S. 251-270 - tab., streszcz., summ. - Bibliogr. 47 poz.
D¹browa Górnicza : Wydawnictwo Naukowe Akademii WSB, 2019;S. 86-110 - Bibliogr. 47 poz.
Katowice : Polskie Towarzystwo Ekonomiczne w Katowicach, 2019;S. 1319-1328 - rys., tab. - Bibliogr. 15 poz.
Gdañsk : Wydawnictwo Uniwersytetu Gdañskiego, 2019;2019, vol. 7, iss. 1 s. 102-126 - rys., tab. - Summ. - Bibliogr. 58 poz.
Katowice : Wydawnictwo Uniwersytetu Ekonomicznego w Katowicach, 2019;2019, nr 3 - rys., tab. - Bibliogr. 37 poz.
Gdañsk : Wydawnictwo Uniwersytetu Gdañskiego, 2019;188 s. : rys., tab., Bibliogr. po rozdz.
Katowice : Wydawnictwo Uniwersytetu Ekonomicznego w Katowicach, 2019;2019, vol. 9, iss. 22 s. 104-114 - Summ. - Bibliogr. 13 poz.
Katowice : Wydawnictwo Uniwersytetu Ekonomicznego w Katowicach, 2019;S. 111-124 - rys., tab.
Warszawa : Wydawnictwo Sejmowe, 2019;2019, vol. 73, iss. 1-2 (324-325) s. 182-193 - il.
Katowice : Wydawnictwo Uniwersytetu Ekonomicznego w Katowicach, 2019;292 s. : rys., tab., Bibliogr. 284 poz., s. 287-292
Czestochowa : Wydawnictwo Politechniki Czêstochowskiej, 2019;2019, nr 48 s. 72
Warszawa : Wydawnictwo Sejmowe, 2019;2019, nr 33 s. 11-32 - Bibliogr. 71 poz.
Lublin : Wydawnictwo Uniwersytetu Marii Curie-Sk³odowskiej, 2019;S. 175-188 - rys., tab., streszcz., summ. - Bibliogr. 15 poz.
Katowice : Wydawnictwo Uniwersytetu Ekonomicznego w Katowicach, 2019;S. 48-53 - tab.
Lublin : Wydawnictwo Uniwersytetu Marii Curie-Sk³odowskiej, 2019;2019, nr 48 s. 67
Katowice : Wydawnictwo Uniwersytetu Ekonomicznego w Katowicach, 2019;100 s.
Katowice : Wydawnictwo Uniwersytetu Ekonomicznego w Katowicach, 2019;S. 48-85 - rys., tab. - Bibliogr. 77 poz.
Katowice : Wydawnictwo Uniwersytetu Ekonomicznego w Katowicach, 2019;S. 137-158 - tab., streszcz., summ. - Bibliogr. 16 poz.
Katowice : Wydawnictwo Uniwersytetu Ekonomicznego w Katowicach, 2019;4 s.
Katowice : Wydawnictwo Uniwersytetu Ekonomicznego w Katowicach, 2019;"1756 s. ; Bibliogr. przy rozdz."
Varazdin : Varazdin Development and Entrepreneurship Agency, 2019;237 s. : rys., tab., Bibliogr. 472 poz., s. 209-235
London : Pearson College London, 2019;S. 55-70 - streszcz., summ. - Bibliogr. 21 poz.
Koprivnica : University North, 2019;S. 75-85 - rys., tab.
Warsaw : Faculty of Management University of Warsaw, 2019;"159 s. : Rys. ; Bibliogr. przy rozdz."
Rabat : Faculty of Law, Economics and Social Sciences Sale - Mohammed V University in Rabat, 2019;2019 s. 12-19 - summ. - Bibliogr. 20 poz.
"Toruñ : Cracow University of Economics ; Towarzystwo Naukowe Organizacji i Kierownictwa - Stowarzyszenie Wy¿szej U¿ytecznoœci \";2019 s. 238-248 - summ. - Bibliogr. 26 poz.
Varazdin : Varazdin Development and Entrepreneurship Agency, 2019;S. 137-142 - rys., tab.
London : Pearson College London, 2019;2019, vol. 9, iss. 22 s. 76-85 - tab. - Summ. - Bibliogr. 14 poz.
Koprivnica : University North, 2019;S. 111-124 - summ.
Warsaw : Faculty of Management University of Warsaw, 2019;2019, nr 8 s. 11-24 - summ.
Rabat : Faculty of Law, Economics and Social Sciences Sale - Mohammed V University in Rabat, 2019;S. 131-136 - Bibliogr. 13 poz.
Katowice : Wydawnictwo Uniwersytetu Ekonomicznego w Katowicach, 2019;148 s.
Poznañ : Wydawnictwo Proksenia, 2019;2019, nr 8 s. 25-38 - rys., tab. - summ.
£ódŸ : Wydawnictwo Uniwersytetu £ódzkiego, 2019;2019, nr 4 (87) s. 88-100 - tab. - Bibliogr. 25 poz.
"Toruñ : Cracow University of Economics ; Towarzystwo Naukowe Organizacji i Kierownictwa - Stowarzyszenie Wy¿szej U¿ytecznoœci \";S. 41-47 - rys. - Bibliogr. 10 poz.
Katowice : Wydawnictwo Uniwersytetu Ekonomicznego w Katowicach, 2019;2019, nr 4 (87) s. 163-165 - fot.
Poznañ : Wydawnictwo Proksenia, 2019;S. 124-130 - rys. - Bibliogr. 13 poz.
Poznañ : Wydawnictwo Proksenia, 2019;303 s.
Katowice : Wydawnictwo Uniwersytetu Ekonomicznego w Katowicach, 2019;S. 35-40 - Bibliogr. 16 poz.
